Serviceeinrichtung";"Stationspreis SPFV - Anteil
Serviceeinrichtung";Bemerkung
6180;VBB;Groß Köris;6;Brandenburg;3,98 €;10,22 €;
2307;VBB;Groß Kreutz;6;Brandenburg;3,98 €;10,22 €;
2308;VMV;Groß Laasch;7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
2311;VMV;Groß Lüsewitz;7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
2312;VBB;Groß Pankow;6;Brandenburg;3,98 €;10,22 €;
2316;VRN;Groß Rohrheim;5;Hessen;4,94 €;13,18 €;
2318;VMV;Groß Schwaß;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
2320;RMV;Groß Umstadt Mitte;6;Hessen;2,48 €;6,52 €;
3237;RMV;Groß Umstadt-Klein Umstadt;6;Hessen;2,48 €;6,52 €;
6734;RMV;Groß Umstadt-Wiebelsbach;5;Hessen;2,40 €;6,30 €;
2323;BEG;Großarmschlag;7;Bayern;2,13 €;5,65 €;
2324;RMV;Großauheim (Kr Hanau);6;Hessen;2,48 €;6,52 €;
2325;VBB;Großbeeren;6;Brandenburg;3,98 €;10,22 €;
2327;ZVNL;Großbothen;5;Sachsen;3,24 €;8,61 €;
2329;go.R;Großbüllesheim;6;Nordrhein-Westfalen;3,77 €;8,76 €;
2330;RH;Großburgwedel;5;Niedersachsen;4,35 €;11,59 €;
2333;ZVNL;Großdeuben;6;Sachsen;2,56 €;6,83 €;
2336;RMV;Großen Buseck;6;Hessen;2,48 €;6,52 €;
2337;RMV;Großen Linden;5;Hessen;2,40 €;6,30 €;
2338;TLBV;Großengottern;6;Thüringen;3,43 €;9,13 €;
2340;VVO;Großenhain Cottb Bf;5;Sachsen;2,08 €;5,53 €;
2341;LNVG;Großenkneten;6;Niedersachsen;4,23 €;10,34 €;
2342;RMV;Großenlüder;6;Hessen;2,48 €;6,52 €;
2343;TLBV;Großfurra;6;Thüringen;3,43 €;9,13 €;
2344;BEG;Großgeschaidt;7;Bayern;2,13 €;5,65 €;
2345;ZVON;Großharthau;6;Sachsen;3,28 €;8,70 €;
2346;BEG;Großhelfendorf;6;Bayern;2,89 €;7,59 €;
2347;TLBV;Großheringen;5;Thüringen;3,74 €;9,97 €;
2349;BEG;Großhesselohe Isartalbahnhof;5;Bayern;2,72 €;7,01 €;
2350;BEG;Großkarolinenfeld;6;Bayern;2,89 €;7,59 €;
2351;NASA;Großkorbetha;4;Sachsen-Anhalt;5,24 €;13,97 €;
2352;RMV;Großkrotzenburg;5;Hessen;2,40 €;6,30 €;
2353;NASA;Großkugel;6;Sachsen-Anhalt;3,34 €;8,90 €;
2355;ZVNL;Großlehna;6;Sachsen;2,56 €;6,83 €;
2356;TLBV;Großneuhausen;6;Thüringen;3,43 €;9,13 €;
2357;ZVNL;Großpösna;6;Sachsen;2,56 €;6,83 €;
2359;VBB;Großräschen;6;Brandenburg;3,98 €;10,22 €;
2360;VVO;Großröhrsdorf;6;Sachsen;2,85 €;7,61 €;
2361;TLBV;Großrudestedt;6;Thüringen;3,43 €;9,13 €;
2364;ZVON;Großschönau (Sachs);6;Sachsen;3,28 €;8,70 €;
2365;TLBV;Großschwabhausen;6;Thüringen;3,43 €;9,13 €;
2367;ZVNL;Großsteinberg;6;Sachsen;2,56 €;6,83 €;
2371;BEG;Großwalbur;7;Bayern;2,13 €;5,65 €;
2372;VBB;Großwudicke;7;Brandenburg;3,21 €;8,56 €;
2376;BEG;Grub (Oberbay);5;Bayern;2,72 €;7,01 €;
2377;BEG;Grub (Oberpf);7;Bayern;2,13 €;5,65 €;
2378;BEG;Grub am Forst;6;Bayern;2,89 €;7,59 €;
2383;VMS;Grüna (Sachs);6;Sachsen;3,63 €;9,66 €;
2387;VRStutt;Grunbach;4;Baden-Württemberg;2,90 €;7,74 €;
2388;ZVV;Grünbach;7;Sachsen;3,28 €;8,76 €;
2389;RMV;Grünberg (Oberhess);6;Hessen;2,48 €;6,52 €;
2391;VBB Berlin;Grünbergallee;5;Berlin;1,96 €;5,19 €;
2393;ZVRP Nord;Grünebach Ort;7;Rheinland-Pfalz;2,00 €;4,62 €;
2394;ZVRP Nord;Grünebacher Hütte;7;Rheinland-Pfalz;2,00 €;4,62 €;
2395;VBB;Grüneberg;6;Brandenburg;3,98 €;10,22 €;
2400;VBB;Grunow (Niederlausitz);6;Brandenburg;3,98 €;10,22 €;
2401;VM BW;Grünsfeld;6;Baden-Württemberg;2,35 €;6,18 €;
2402;ZÖPNV Süd;Grünstadt;4;Rheinland-Pfalz;2,84 €;7,40 €;
2403;ZÖPNV Süd;Grünstadt Nord;7;Rheinland-Pfalz;1,49 €;4,01 €;
8030;VM BW;Grüntal/Wittlensweiler;7;Baden-Württemberg;1,90 €;5,07 €;
2405;VBB;Guben;5;Brandenburg;3,44 €;9,13 €;
2407;ZPS;Güdingen;5;Saarland;1,58 €;4,00 €;
2410;go.R;Gummersbach;6;Nordrhein-Westfalen;3,77 €;8,76 €;
2412;VM BW;Gundelfingen;5;Baden-Württemberg;2,91 €;7,35 €;
2413;BEG;Gundelfingen (Bay);6;Bayern;2,89 €;7,59 €;
2414;BEG;Gundelsdorf;6;Bayern;2,89 €;7,59 €;
2415;BEG;Gundelshausen;6;Bayern;2,89 €;7,59 €;
2416;VM BW;Gundelsheim (Neckar);6;Baden-Württemberg;2,35 €;6,18 €;
2417;ZÖPNV Süd;Gundersheim (Rheinhess);6;Rheinland-Pfalz;1,99 €;5,22 €;
2418;BEG;Gündlkofen;6;Bayern;2,89 €;7,59 €;
2419;ZÖPNV Süd;Guntersblum;5;Rheinland-Pfalz;2,95 €;7,78 €;
2421;BEG;Günzach;6;Bayern;2,89 €;7,59 €;
2422;BEG;Günzburg;3;Bayern;4,75 €;12,53 €;
2424;BEG;Gunzenhausen;4;Bayern;3,19 €;7,89 €;
2425;NASA;Güsen (Kr Genthin);6;Sachsen-Anhalt;3,34 €;8,90 €;
2428;NASA;Güsten;5;Sachsen-Anhalt;3,29 €;8,62 €;
2431;VRR;Gustorf;6;Nordrhein-Westfalen;2,76 €;7,00 €;
2432;VMV;Güstrow;3;Mecklenburg-Vorpommern;27,07 €;69,66 €;
2433;VM BW;Gutach (Breisgau);6;Baden-Württemberg;2,35 €;6,18 €;
7113;VM BW;Gutach Freilichtmuseum;6;Baden-Württemberg;2,35 €;6,18 €;
2435;ZVV;Gutenfürst;7;Sachsen;3,28 €;8,76 €;
2437;NASA;Güterglück;6;Sachsen-Anhalt;3,34 €;8,90 €;
2438;NWL;Gütersloh Hbf;3;Nordrhein-Westfalen;7,97 €;17,74 €;
2439;TLBV;Guthmannshausen;6;Thüringen;3,43 €;9,13 €;
2440;NVV;Guxhagen;5;Hessen;1,98 €;5,13 €;
2442;VRR;Haan;5;Nordrhein-Westfalen;2,32 €;5,93 €;
2381;VRR;Haan-Gruiten;4;Nordrhein-Westfalen;2,49 €;6,29 €;
2443;BEG;Haar;4;Bayern;3,19 €;7,89 €;
2444;TLBV;Haarhausen;6;Thüringen;3,43 €;9,13 €;
2446;ZVRP Nord;Hachenburg;6;Rheinland-Pfalz;2,27 €;5,85 €;
2447;VBB Berlin;Hackescher Markt;4;Berlin;2,00 €;5,33 €;
2448;RMV;Hadamar;6;Hessen;2,48 €;6,52 €;
2449;NAH.SH;Hademarschen;7;Schleswig-Holstein;2,21 €;5,91 €;
2451;NASA;Hadmersleben;7;Sachsen-Anhalt;2,77 €;7,39 €;
2453;NAH.SH;Haffkrug;6;Schleswig-Holstein;3,53 €;9,43 €;
2454;VMV;Hagebök;7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
2455;BEG;Hagelstadt;6;Bayern;2,89 €;7,59 €;
2456;RH;Hagen (Han);6;Niedersachsen;4,47 €;11,92 €;
2457;VRR;Hagen Hbf;2;Nordrhein-Westfalen;9,80 €;26,07 €;
7956;ZÖPNV Süd;Hagenbach;6;Rheinland-Pfalz;1,99 €;5,22 €;
2466;BEG;Hagenbüchach;6;Bayern;2,89 €;7,59 €;
2460;VRR;Hagen-Heubing;6;Nordrhein-Westfalen;2,76 €;7,00 €;
2462;VRR;Hagen-Oberhagen;6;Nordrhein-Westfalen;2,76 €;7,00 €;
2468;VMV;Hagenow Land;5;Mecklenburg-Vorpommern;3,75 €;9,97 €;
2463;VRR;Hagen-Vorhalle;6;Nordrhein-Westfalen;2,76 €;7,00 €;
2464;VRR;Hagen-Wehringhausen;6;Nordrhein-Westfalen;2,76 €;7,00 €;
2469;ZVON;Hagenwerder;6;Sachsen;3,28 €;8,70 €;
2465;VRR;Hagen-Westerbauer;6;Nordrhein-Westfalen;2,76 €;7,00 €;
2470;ZVON;Hähnichen;6;Sachsen;3,28 €;8,70 €;
2471;RMV;Hähnlein-Alsbach;5;Hessen;2,40 €;6,30 €;
2474;BEG;Haidenaab-Göppmannsbühl;7;Bayern;2,13 €;5,65 €;
2475;RMV;Haiger;5;Hessen;2,40 €;6,30 €;
2476;RMV;Haiger Obertor;7;Hessen;1,88 €;4,96 €;
2477;RMV;Hailer-Meerholz;5;Hessen;2,40 €;6,30 €;
2482;RMV;Hainburg Hainstadt;6;Hessen;2,48 €;6,52 €;
2478;ZVON;Hainewalde;7;Sachsen;3,35 €;8,94 €;
2480;VMS;Hainichen;6;Sachsen;3,63 €;9,66 €;
2483;RMV;Haitz-Höchst;6;Hessen;2,48 €;6,52 €;
2486;VBB;Halbe;6;Brandenburg;3,98 €;10,22 €;
2490;NASA;Halberstadt Hbf;3;Sachsen-Anhalt;6,59 €;17,26 €;Name alt: Halberstadt
2489;NASA;Halberstadt Oststraße;7;Sachsen-Anhalt;2,77 €;7,39 €;
2491;NASA;Halberstadt-Spiegelsberge;7;Sachsen-Anhalt;2,77 €;7,39 €;
2492;VM BW;Halbmeil;7;Baden-Württemberg;1,90 €;5,07 €;
2493;NASA;Haldensleben;5;Sachsen-Anhalt;3,29 €;8,62 €;
2495;VRR;Haldern (Rheinl);6;Nordrhein-Westfalen;2,76 €;7,00 €;
2496;NWL;Halen;7;Nordrhein-Westfalen;2,48 €;6,41 €;
2497;BEG;Hallbergmoos;5;Bayern;2,72 €;7,01 €;
2498;NASA;Halle (Saale) Hbf;2;Sachsen-Anhalt;23,08 €;61,58 €;
2500;NWL;Halle (Westf);6;Nordrhein-Westfalen;3,85 €;9,87 €;
7772;NWL;Halle (Westf.) OWL-Arena;7;Nordrhein-Westfalen;2,48 €;6,41 €;Name alt: Halle (Westf)-Gerry-Weber-Stadion
93;NASA;Halle MESSE;6;Sachsen-Anhalt;3,34 €;8,90 €;
5856;NASA;Halle Silberhöhe;6;Sachsen-Anhalt;3,34 €;8,90 €;Name alt: Silberhöhe
6097;NASA;Halle Südstadt;6;Sachsen-Anhalt;3,34 €;8,90 €;Name alt: Südstadt
2501;NASA;Halle-Ammendorf;6;Sachsen-Anhalt;3,34 €;8,90 €;
2503;NASA;Halle-Neustadt;4;Sachsen-Anhalt;5,24 €;13,97 €;
2504;NASA;Halle-Nietleben;6;Sachsen-Anhalt;3,34 €;8,90 €;
2505;NASA;Halle-Trotha;6;Sachsen-Anhalt;3,34 €;8,90 €;
2506;BEG;Hallstadt (b Bamberg);5;Bayern;2,72 €;7,01 €;
2509;NAH.SH;Halstenbek;4;Schleswig-Holstein;4,78 €;12,76 €;
2510;VRR;Haltern am See;4;Nordrhein-Westfalen;2,49 €;6,29 €;
2511;VM BW;Haltingen;6;Baden-Württemberg;2,35 €;6,18 €;
7790;NWL;Halver-Oberbrügge;6;Nordrhein-Westfalen;3,85 €;9,87 €;
2458;BWVI;Hamburg Airport (Flughafen);4;Hamburg;2,79 €;6,93 €;
2513;BWVI;Hamburg Dammtor;2;Hamburg;6,43 €;17,18 €;
2514;BWVI;Hamburg Hbf;1;Hamburg;12,16 €;32,47 €;
2517;BWVI;Hamburg-Altona;1;Hamburg;12,16 €;32,47 €;
2518;BWVI;Hamburg-Bergedorf;3;Hamburg;2,76 €;7,25 €;
2519;BWVI;Hamburg-Harburg;2;Hamburg;6,43 €;17,18 €;
2520;BWVI;Hamburg-Neugraben;3;Hamburg;2,76 €;7,25 €;
2521;BWVI;Hamburg-Rahlstedt;4;Hamburg;2,79 €;6,93 €;
6529;BWVI;Hamburg-Tonndorf;4;Hamburg;2,79 €;6,93 €;
2522;BWVI;Hamburg-Wandsbek;4;Hamburg;2,79 €;6,93 €;
2524;RH;Hämelerwald;5;Niedersachsen;4,35 €;11,59 €;
2525;LNVG;Hameln;3;Niedersachsen;9,17 €;24,07 €;
2526;NASA;Hämerten;7;Sachsen-Anhalt;2,77 €;7,39 €;
2528;NWL;Hamm (Westf) Hbf;2;Nordrhein-Westfalen;13,97 €;35,99 €;
2529;LNVG;Hammah;6;Niedersachsen;4,23 €;10,34 €;
733;NWL;Hamm-Bockum-Hövel;6;Nordrhein-Westfalen;3,85 €;9,87 €;
2530;BEG;Hammelburg;7;Bayern;2,13 €;5,65 €;
6478;BEG;Hammelburg Ost;7;Bayern;2,13 €;5,65 €;
2531;VBB;Hammelspring;7;Brandenburg;3,21 €;8,56 €;
2532;BEG;Hammerau;6;Bayern;2,89 €;7,59 €;
2533;BWVI;Hammerbrook;4;Hamburg;2,79 €;6,93 €;
2621;NWL;Hamm-Heessen;6;Nordrhein-Westfalen;3,85 €;9,87 €;
2536;VRR;Hamminkeln;6;Nordrhein-Westfalen;2,76 €;7,00 €;
1217;VRR;Hamminkeln-Dingden;6;Nordrhein-Westfalen;2,76 €;7,00 €;Name alt: Dingden
8301;NWL;Hamm-Westtünnen;6;Nordrhein-Westfalen;3,85 €;9,87 €;
2537;RMV;Hanau Hbf;2;Hessen;12,33 €;32,56 €;
3226;RMV;Hanau Klein Auheim;6;Hessen;2,48 €;6,52 €;
2538;RMV;Hanau Nord;5;Hessen;2,40 €;6,30 €;
2539;RMV;Hanau West;5;Hessen;2,40 €;6,30 €;
2540;RMV;Hanau-Wilhelmsbad;5;Hessen;2,40 €;6,30 €;
2541;LNVG;Handeloh;6;Niedersachsen;4,23 €;10,34 €;
2542;VBB;Hangelsberg;6;Brandenburg;3,98 €;10,22 €;
2543;LNVG;Hann Münden;6;Niedersachsen;4,23 €;10,34 €;
7183;RH;Hannover - Ledeburg;4;Niedersachsen;4,42 €;11,76 €;
6424;RH;Hannover - Vinnhorst;4;Niedersachsen;4,42 €;11,76 €;
2544;RH;Hannover Bismarckstraße;4;Niedersachsen;4,42 €;11,76 €;
2545;RH;Hannover Hbf;1;Niedersachsen;23,97 €;63,99 €;
7181;RH;Hannover Karl-Wiechert-Allee;4;Niedersachsen;4,42 €;11,76 €;
2546;RH;Hannover-Bornum;5;Niedersachsen;4,35 €;11,59 €;
7180;RH;Hannover-Flughafen;4;Niedersachsen;4,42 €;11,76 €;
2549;RH;Hannover-Kleefeld;5;Niedersachsen;4,35 €;11,59 €;
2550;RH;Hannover-Leinhausen;5;Niedersachsen;4,35 €;11,59 €;
2551;RH;Hannover-Linden/Fischerhof;4;Niedersachsen;4,42 €;11,76 €;
3488;RH;Hannover-Messe / Laatzen;4;Niedersachsen;4,42 €;11,76 €;
7899;RH;Hannover-Nordstadt;4;Niedersachsen;4,42 €;11,76 €;
2553;ZPS;Hanweiler-Bad Rilchingen;6;Saarland;1,54 €;4,04 €;
8194;BEG;Happurg;6;Bayern;2,89 €;7,59 €;
2554;NAH.SH;Harblek;7;Schleswig-Holstein;2,21 €;5,91 €;
2555;BEG;Harburg (Schwab);6;Bayern;2,89 €;7,59 €;
2556;BWVI;Harburg Rathaus;3;Hamburg;2,76 €;7,25 €;
2557;LNVG;Hardegsen;6;Niedersachsen;4,23 €;10,34 €;
2558;BEG;Hardhof;6;Bayern;2,89 €;7,59 €;
2559;LNVG;Haren (Ems);6;Niedersachsen;4,23 €;10,34 €;
2561;TLBV;Harra;7;Thüringen;2,70 €;7,22 €;
2562;TLBV;Harra Nord;7;Thüringen;2,70 €;7,22 €;
2563;TLBV;Harras (Thür);6;Thüringen;3,43 €;9,13 €;
2564;BEG;Harsdorf;6;Bayern;2,89 €;7,59 €;
2565;LNVG;Harsum;6;Niedersachsen;4,23 €;10,34 €;
2568;BEG;Hartershofen;7;Bayern;2,13 €;5,65 €;
2570;BEG;Harthaus;5;Bayern;2,72 €;7,01 €;
2571;VVO;Hartmannmühle;7;Sachsen;2,46 €;6,58 €;
2574;BEG;Hartmannshof;5;Bayern;2,72 €;7,01 €;
2576;LNVG;Hasbergen (Kr Osnabrück);6;Niedersachsen;4,23 €;10,34 €;
2577;VM BW;Haslach;5;Baden-Württemberg;2,91 €;7,35 €;
2579;BEG;Haspelmoor;6;Bayern;2,89 €;7,59 €;
2580;ZPS;Hassel (Saar);6;Saarland;1,54 €;4,04 €;
2581;BWVI;Hasselbrook;3;Hamburg;2,76 €;7,25 €;
2582;BEG;Haßfurt;4;Bayern;3,19 €;7,89 €;
2585;ZÖPNV Süd;Haßloch (Pfalz);4;Rheinland-Pfalz;2,84 €;7,40 €;
2586;VM BW;Haßmersheim;7;Baden-Württemberg;1,90 €;5,07 €;
2587;LNVG;Haste (Han);4;Niedersachsen;4,96 €;13,09 €;
2588;RMV;Hattenheim;6;Hessen;2,48 €;6,52 €;
2589;RMV;Hattersheim (Main);4;Hessen;2,78 €;6,42 €;
2590;ZVRP Nord;Hattert;6;Rheinland-Pfalz;2,27 €;5,85 €;
2592;VRR;Hattingen (Ruhr);5;Nordrhein-Westfalen;2,32 €;5,93 €;
2593;VRR;Hattingen (Ruhr) Mitte;6;Nordrhein-Westfalen;2,76 €;7,00 €;
2594;LNVG;Hattorf;6;Niedersachsen;4,23 €;10,34 €;
2595;ZVRP Nord;Hatzenport;6;Rheinland-Pfalz;2,27 €;5,85 €;
2597;ZÖPNV Süd;Hauenstein (Pfalz);6;Rheinland-Pfalz;1,99 €;5,22 €;
8200;ZÖPNV Süd;Hauenstein Mitte;6;Rheinland-Pfalz;1,99 €;5,22 €;
4408;NVV;Haunetal-Neukirchen;6;Hessen;2,73 €;7,26 €;
2599;BEG;Haupeltshofen;7;Bayern;2,13 €;5,65 €;
2600;ZÖPNV Süd;Hauptstuhl;5;Rheinland-Pfalz;2,95 €;7,78 €;
2601;VM BW;Hausach;4;Baden-Württemberg;3,92 €;10,18 €;
2603;TLBV;Hausen;7;Thüringen;2,70 €;7,22 €;
2604;BEG;Hausen (Schwab);7;Bayern;2,13 €;5,65 €;
2605;VM BW;Hausen i Tal;6;Baden-Württemberg;2,35 €;6,18 €;
2606;VM BW;Hausen-Raitbach;6;Baden-Württemberg;2,35 €;6,18 €;
2607;RMV;Häuserhof;6;Hessen;2,48 €;6,52 €;
2608;BEG;Hausham;6;Bayern;2,89 €;7,59 €;
2610;NWL;Havixbeck;6;Nordrhein-Westfalen;3,85 €;9,87 €;
8050;VM BW;HD-Weststadt/Südstadt;5;Baden-Württemberg;2,91 €;7,35 €;
6515;BEG;Hebertshausen;5;Bayern;2,72 €;7,01 €;
2614;VM BW;Hechingen;6;Baden-Württemberg;2,35 €;6,18 €;
2615;LNVG;Hechthausen;6;Niedersachsen;4,23 €;10,34 €;
2362;VM BW;Heddesheim/Hirschberg;4;Baden-Württemberg;3,92 €;10,18 €;
2618;LNVG;Hedemünden;5;Niedersachsen;4,79 €;12,40 €;
2619;BEG;Hedersdorf;7;Bayern;2,13 €;5,65 €;
2620;NASA;Hedersleben-Wedderstedt;7;Sachsen-Anhalt;2,77 €;7,39 €;
7728;VBB Berlin;Heerstraße;5;Berlin;1,96 €;5,19 €;
2622;VBB;Hegermühle;6;Brandenburg;3,98 €;10,22 €;
2623;NWL;Heggen;6;Nordrhein-Westfalen;3,85 €;9,87 €;
2624;VM BW;Hegne;6;Baden-Württemberg;2,35 €;6,18 €;
2625;NAH.SH;Heide (Holst);3;Schleswig-Holstein;9,48 €;25,32 €;
2628;VM BW;Heidelberg Hbf;2;Baden-Württemberg;15,35 €;40,77 €;
2629;VM BW;Heidelberg-Altstadt;4;Baden-Württemberg;3,92 €;10,18 €;
2632;VBB Berlin;Heidelberger Platz;4;Berlin;2,00 €;5,33 €;
2630;VM BW;Heidelberg-Kirchheim/Rohrbach;4;Baden-Württemberg;3,92 €;10,18 €;
8051;VM BW;Heidelberg-Orthopädie;6;Baden-Württemberg;2,35 €;6,18 €;
2631;VM BW;Heidelberg-Pfaffengrund/Wieblingen;4;Baden-Württemberg;3,92 €;10,18 €;
5596;VM BW;Heidelberg-Schlierbach-Ziegelhausen;6;Baden-Württemberg;2,35 €;6,18 €;
2636;VVO;Heidenau;4;Sachsen;2,53 €;6,78 €;
2637;VVO;Heidenau Süd;5;Sachsen;2,08 €;5,53 €;
2638;VVO;Heidenau-Großsedlitz;5;Sachsen;2,08 €;5,53 €;
2639;VM BW;Heidenheim;4;Baden-Württemberg;3,92 €;10,18 €;
2640;VM BW;Heidenheim Voithwerk;7;Baden-Württemberg;1,90 €;5,07 €;
2641;VM BW;Heidenheim-Mergelstetten;6;Baden-Württemberg;2,35 €;6,18 €;
2642;VM BW;Heidenheim-Schnaitheim;6;Baden-Württemberg;2,35 €;6,18 €;
2644;ZÖPNV Süd;Heidesheim (Rheinhess);5;Rheinland-Pfalz;2,95 €;7,78 €;
2645;LNVG;Heidkrug;6;Niedersachsen;4,23 €;10,34 €;
2647;BEG;Heigenbrücken;5;Bayern;2,72 €;7,01 €;
2654;TLBV;Heilbad Heiligenstadt;4;Thüringen;5,03 €;13,40 €;
2648;VM BW;Heilbronn Hbf;2;Baden-Württemberg;15,35 €;40,77 €;
2650;VM BW;Heilbronn Sülmertor;6;Baden-Württemberg;2,35 €;6,18 €;
7623;VM BW;Heilbronn Trappensee;6;Baden-Württemberg;2,35 €;6,18 €;
2653;VBB;Heiligengrabe;7;Brandenburg;3,21 €;8,56 €;
7729;VBB Berlin;Heiligensee;4;Berlin;2,00 €;5,33 €;
2655;ZÖPNV Süd;Heiligenstein (Pfalz);6;Rheinland-Pfalz;1,99 €;5,22 €;
2657;BEG;Heilsbronn;5;Bayern;2,72 €;7,01 €;
2658;ZÖPNV Süd;Heimbach (Nahe);6;Rheinland-Pfalz;1,99 €;5,22 €;
2659;BEG;Heimenkirch;6;Bayern;2,89 €;7,59 €;
8498;ZVRP Nord;Heimersheim / Lohrsdorf;5;Rheinland-Pfalz;2,59 €;5,24 €;
2662;BWVI;Heimfeld;4;Hamburg;2,79 €;6,93 €;
2663;BEG;Heimstetten;5;Bayern;2,72 €;7,01 €;
2667;ZÖPNV Süd;Heinzenhausen;7;Rheinland-Pfalz;1,49 €;4,01 €;
2669;VM BW;Heitersheim;5;Baden-Württemberg;2,91 €;7,35 €;
2671;TLBV;Heldrungen;6;Thüringen;3,43 €;9,13 €;
2672;VBB;Helenesee;7;Brandenburg;3,21 €;8,56 €;
2674;BEG;Helmbrechts;7;Bayern;2,13 €;5,65 €;
2675;VVO;Helmsdorf (b Pirna);7;Sachsen;2,46 €;6,58 €;
8167;VM BW;Helmstadt (Baden);7;Baden-Württemberg;1,90 €;5,07 €;
2677;RVB;Helmstedt;4;Niedersachsen;9,96 €;26,55 €;
2678;NWL;Helpup;7;Nordrhein-Westfalen;2,48 €;6,41 €;
2681;NWL;Hemmerde;6;Nordrhein-Westfalen;3,85 €;9,87 €;
2682;ZPS;Hemmersdorf (Saar);7;Saarland;2,20 €;5,86 €;
2683;LNVG;Hemmoor;6;Niedersachsen;4,23 €;10,34 €;
2684;VM BW;Hemsbach;5;Baden-Württemberg;2,91 €;7,35 €;
2686;BEG;Henfenfeld;6;Bayern;2,89 €;7,59 €;
2688;go.R;Hennef (Sieg);4;Nordrhein-Westfalen;2,69 €;6,76 €;
2166;go.R;Hennef Im Siegbogen;6;Nordrhein-Westfalen;3,77 €;8,76 €;
2689;NWL;Hennen;7;Nordrhein-Westfalen;2,48 €;6,41 €;
2691;VBB;Hennigsdorf (b Berlin);3;Brandenburg;7,57 €;20,21 €;
2693;VRN;Heppenheim (Bergstr);5;Hessen;4,94 €;13,18 €;
2695;VM BW;Herbertingen;5;Baden-Württemberg;2,91 €;7,35 €;
2696;VM BW;Herbertingen Ort;7;Baden-Württemberg;1,90 €;5,07 €;
2697;BEG;Herbertshofen;6;Bayern;2,89 €;7,59 €;
2699;VM BW;Herbolzheim (Breisgau);5;Baden-Württemberg;2,91 €;7,35 €;
2700;VM BW;Herbolzheim (Jagst);6;Baden-Württemberg;2,35 €;6,18 €;
2701;RMV;Herborn (Dillkr);4;Hessen;2,78 €;6,42 €;
2703;VM BW;Herbrechtingen;6;Baden-Württemberg;2,35 €;6,18 €;
2705;go.R;Herchen;5;Nordrhein-Westfalen;2,69 €;7,09 €;
2706;VRR;Herdecke;6;Nordrhein-Westfalen;2,76 €;7,00 €;
2707;ZVRP Nord;Herdorf;6;Rheinland-Pfalz;2,27 €;5,85 €;
2708;NWL;Herford;2;Nordrhein-Westfalen;13,97 €;35,99 €;
2709;BEG;Hergatz;6;Bayern;2,89 €;7,59 €;
2710;RMV;Hergershausen;6;Hessen;2,48 €;6,52 €;
2712;TLBV;Heringen (Helme);6;Thüringen;3,43 €;9,13 €;
2714;ZVV;Herlasgrün;6;Sachsen;3,51 €;9,38 €;
2715;NVV;Herleshausen;6;Hessen;2,73 €;7,26 €;
2716;VBB Berlin;Hermannstraße;4;Berlin;2,00 €;5,33 €;
2717;VM BW;Hermaringen;6;Baden-Württemberg;2,35 €;6,18 €;
2720;VVO;Hermsdorf (b Dresden);6;Sachsen;2,85 €;7,61 €;
2721;TLBV;Hermsdorf-Klosterlausnitz;5;Thüringen;3,74 €;9,97 €;
2722;VRR;Herne;3;Nordrhein-Westfalen;4,71 €;11,77 €;
2723;VRR;Herne-Börnig;6;Nordrhein-Westfalen;2,76 €;7,00 €;
2724;BEG;Heroldsberg;6;Bayern;2,89 €;7,59 €;
7995;BEG;Heroldsberg Nord;6;Bayern;2,89 €;7,59 €;
2725;VRR;Herrath;6;Nordrhein-Westfalen;2,76 €;7,00 €;
2726;VM BW;Herrenberg;3;Baden-Württemberg;5,29 €;13,61 €;
2727;VBB;Herrensee;6;Brandenburg;3,98 €;10,22 €;
2728;VM BW;Herrlingen;6;Baden-Württemberg;2,35 €;6,18 €;
2730;VMV;Herrnburg;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
2732;BEG;Herrsching;5;Bayern;2,72 €;7,01 €;
2733;BEG;Hersbruck (links Pegnitz);6;Bayern;2,89 €;7,59 €;
2734;BEG;Hersbruck (rechts Pegnitz);4;Bayern;3,19 €;7,89 €;
2735;VM BW;Herten (Baden);6;Baden-Württemberg;2,35 €;6,18 €;
8363;VRR;Herten (Westf);5;Nordrhein-Westfalen;2,32 €;5,93 €;
8365;VRR;Herten-Westerholt;6;Nordrhein-Westfalen;2,76 €;7,00 €;Inbetriebnahme 30.06.2025
2736;VRR;Hervest-Dorsten;6;Nordrhein-Westfalen;2,76 €;7,00 €;
2737;ZÖPNV Süd;Herxheim am Berg;6;Rheinland-Pfalz;1,99 €;5,22 €;
2739;VBB;Herzberg (Elster);6;Brandenburg;3,98 €;10,22 €;
2740;LNVG;Herzberg (Harz);5;Niedersachsen;4,79 €;12,40 €;
2742;LNVG;Herzberg Schloß;7;Niedersachsen;2,85 €;7,60 €;
2743;NWL;Herzebrock;6;Nordrhein-Westfalen;3,85 €;9,87 €;
7248;NAH.SH;Herzhorn;6;Schleswig-Holstein;3,53 €;9,43 €;
2744;go.R;Herzogenrath;3;Nordrhein-Westfalen;5,27 €;13,91 €;
2746;LNVG;Hesepe;7;Niedersachsen;2,85 €;7,60 €;
2747;NWL;Hesseln;7;Nordrhein-Westfalen;2,48 €;6,41 €;
3081;RMV;Hesseneck-Kailbach;6;Hessen;2,48 €;6,52 €;
